Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ ),work_id,work_category,completed_disbursed_amount,completion_date,state,constituency,mp_name,description,has_image
7225,Normal/Others,WS/MP18109/2024-2025/175869-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,592882.45,WS/MP18109/2024-2025/175869,Normal/Others,592882.45,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7226,Normal/Others,WS/MP18109/2024-2025/175868-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175868,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7227,Normal/Others,"WS/MP18160/2025-2026/177058-Purchase of smart boards, visual display units and projectors",Rajasthan,BARMER(DISTRICT COLLECTOR BARMER_IDA),8. SMART CLASS BOARD WITH INVERTER IN GSSS CHHITAR KAPAR,UMMEDA RAM BENIWAL,BARMER,Images,17-Jul-2025,76884.23,WS/MP18160/2025-2026/177058,Normal/Others,76884.23,2025-07-17,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,8. SMART CLASS BOARD WITH INVERTER IN GSSS CHHITAR KAPAR,True
7228,Normal/Others,WS/MP18109/2024-2025/175870-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175870,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7229,Normal/Others,WS/MP18109/2024-2025/175871-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175871,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7230,Normal/Others,WS/MP18109/2024-2025/175873-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175873,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7231,Normal/Others,WS/MP18109/2024-2025/175872-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175872,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7232,Normal/Others,WS/MP18109/2024-2025/175875-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175875,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7233,Normal/Others,WS/MP858/2024-2025/167008-Construction of rainwater harvesting structures,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),CONSTRUCTION  OF CC COVER DRAIN FROM NEPAL DAS HOUSE TO SAHEB METE HOUSE AT JUBUTIA . EXECUTING AGENCY WILL BE EO NANOOR PANCHAYET SAMITY,Asit Kumar Mal,BOLPUR(SC),Images,20-May-2025,408931.31,WS/MP858/2024-2025/167008,Normal/Others,408931.31,2025-05-20,WEST BENGAL,BOLPUR(SC),ASIT KUMAR MAL,CONSTRUCTION  OF CC COVER DRAIN FROM NEPAL DAS HOUSE TO SAHEB METE HOUSE AT JUBUTIA . EXECUTING AGENCY WILL BE EO NANOOR PANCHAYET SAMITY,True
7234,Normal/Others,"WS/MP18160/2025-2026/177059-Purchase of smart boards, visual display units and projectors",Rajasthan,BARMER(DISTRICT COLLECTOR BARMER_IDA),2. SMART CLASS BOARD WITH INVERTER IN GSSS DURGONIYON KA TALA,UMMEDA RAM BENIWAL,BARMER,Images,17-Jul-2025,76884.23,WS/MP18160/2025-2026/177059,Normal/Others,76884.23,2025-07-17,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,2. SMART CLASS BOARD WITH INVERTER IN GSSS DURGONIYON KA TALA,True
7235,Repair and Renovation,"WS/MP18311/2025-2026/183390-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),"Repair of roads, link roads, pathways or any other road with or without drainage system at vill Chauhra",MALVINDER SINGH KANG,ANANDPUR SAHIB,Images,21-May-2025,256280.75,WS/MP18311/2025-2026/183390,Repair and Renovation,256280.75,2025-05-21,PUNJAB,ANANDPUR SAHIB,MALVINDER SINGH KANG,"Repair of roads, link roads, pathways or any other road with or without drainage system at vill Chauhra",True
7236,Normal/Others,WS/MP18173/2025-2026/152439-Lighting of public spaces,Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),Providing of Installation of Mini High Mass Light (9 Mt Height / 100 W) 6 numbers near Draupadi Amman Temple at 12 Puthur panchayat,THARANIVENTHAN M S,ARANI,Images,21-May-2025,153768.45,WS/MP18173/2025-2026/152439,Normal/Others,153768.45,2025-05-21,TAMIL NADU,ARANI,THARANIVENTHAN M S,Providing of Installation of Mini High Mass Light (9 Mt Height / 100 W) 6 numbers near Draupadi Amman Temple at 12 Puthur panchayat,True
7237,Normal/Others,"WS/MP18188/2025-2026/154675-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),Laying of CC Road from H.No.1-1-2/7B to 1/1/6/B Sujatha Nurse House in Ward No.24 in Tandur Municipality,KONDA VISHWESHWAR REDDY,CHELVELLA,,26-May-2025,244992.61,WS/MP18188/2025-2026/154675,Normal/Others,244992.61,2025-05-26,TELANGANA,CHELVELLA,KONDA VISHWESHWAR REDDY,Laying of CC Road from H.No.1-1-2/7B to 1/1/6/B Sujatha Nurse House in Ward No.24 in Tandur Municipality,False
7238,Normal/Others,"WS/MP18049/2025-2026/181651-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA),ARTI DAS KE GHAR SE RAJA NAL KE GHAR KI OER C C ROAD NIRMAN KISAN PARSADA,TOKHAN SAHU,BILASPUR,Images,30-Jul-2025,254782.53,WS/MP18049/2025-2026/181651,Normal/Others,254782.53,2025-07-30,CHHATTISGARH,BILASPUR,TOKHAN SAHU,ARTI DAS KE GHAR SE RAJA NAL KE GHAR KI OER C C ROAD NIRMAN KISAN PARSADA,True
7239,Normal/Others,"WS/MP18253/2024-2025/140132-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),CONSTRUCTION OF CC ROAD WITH PAILING FROM BHAGABAN PUR KACHARI MORE TO YOURUCH NAIYA HOUSE VIA SAFIULL GAZI SHOP,BAPI HALDAR,MATHURAPUR(SC),Images,21-May-2025,254648.24,WS/MP18253/2024-2025/140132,Normal/Others,254648.24,2025-05-21,WEST BENGAL,MATHURAPUR(SC),BAPI HALDAR,CONSTRUCTION OF CC ROAD WITH PAILING FROM BHAGABAN PUR KACHARI MORE TO YOURUCH NAIYA HOUSE VIA SAFIULL GAZI SHOP,True
7240,Normal/Others,"WS/MP18138/2025-2026/148802-Construction of roads, link roads, pathways or any other road with or without drainage system",Mizoram,"LUNGLEI(Deputy Commissioner, Lunglei)",PCC pavement of Internal Road at New Khawlek(Pu Lawma's house to Baptist Church: 40 mtres),RICHARD VANLALHMANGAIHA,MIZORAM (ST),,25-Feb-2026,128140.38,WS/MP18138/2025-2026/148802,Normal/Others,128140.38,2026-02-25,MIZORAM,MIZORAM (ST),RICHARD VANLALHMANGAIHA,PCC pavement of Internal Road at New Khawlek(Pu Lawma's house to Baptist Church: 40 mtres),False
7241,Normal/Others,"WS/MP18138/2025-2026/148803-Construction of roads, link roads, pathways or any other road with or without drainage system",Mizoram,"LUNGLEI(Deputy Commissioner, Lunglei)",PCC pavement of Internal Road at Dengsur(Pu Lawma's house to Anganwadi Centre: 40 mtres),RICHARD VANLALHMANGAIHA,MIZORAM (ST),,25-Feb-2026,128140.38,WS/MP18138/2025-2026/148803,Normal/Others,128140.38,2026-02-25,MIZORAM,MIZORAM (ST),RICHARD VANLALHMANGAIHA,PCC pavement of Internal Road at Dengsur(Pu Lawma's house to Anganwadi Centre: 40 mtres),False
7242,Normal/Others,WS/MP18138/2025-2026/148806-Construction of boundary walls of existing public and community buildings,Mizoram,"LUNGLEI(Deputy Commissioner, Lunglei)",Construction of Retaining wall and RCC Side drain 55mtrs near Sawiveli’s house at Bunghmun,RICHARD VANLALHMANGAIHA,MIZORAM (ST),,25-Feb-2026,256280.75,WS/MP18138/2025-2026/148806,Normal/Others,256280.75,2026-02-25,MIZORAM,MIZORAM (ST),RICHARD VANLALHMANGAIHA,Construction of Retaining wall and RCC Side drain 55mtrs near Sawiveli’s house at Bunghmun,False
7243,Normal/Others,"WS/MP18138/2025-2026/148800-Construction of roads, link roads, pathways or any other road with or without drainage system",Mizoram,"LUNGLEI(Deputy Commissioner, Lunglei)",PCC pavement of Internal Road at Sesawm(Zarzoliana house to Anganwadi Centre III: 40 Metres),RICHARD VANLALHMANGAIHA,MIZORAM (ST),,25-Feb-2026,128140.38,WS/MP18138/2025-2026/148800,Normal/Others,128140.38,2026-02-25,MIZORAM,MIZORAM (ST),RICHARD VANLALHMANGAIHA,PCC pavement of Internal Road at Sesawm(Zarzoliana house to Anganwadi Centre III: 40 Metres),False
7244,Normal/Others,"WS/MP18138/2025-2026/148801-Construction of roads, link roads, pathways or any other road with or without drainage system",Mizoram,"LUNGLEI(Deputy Commissioner, Lunglei)",Construction of internal Road at Marpara South Marpara South,RICHARD VANLALHMANGAIHA,MIZORAM (ST),,25-Feb-2026,128140.38,WS/MP18138/2025-2026/148801,Normal/Others,128140.38,2026-02-25,MIZORAM,MIZORAM (ST),RICHARD VANLALHMANGAIHA,Construction of internal Road at Marpara South Marpara South,False
7245,Normal/Others,WS/MP370/2024-2025/145538-Construction of community centers and community halls,Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Conts. of CC Building at Goidungri,Shri Jual Oram,SUNDARGARH (ST),Images,23-May-2025,256280.75,WS/MP370/2024-2025/145538,Normal/Others,256280.75,2025-05-23,ODISHA,SUNDARGARH (ST),SHRI JUAL ORAM,Conts. of CC Building at Goidungri,True
7246,Normal/Others,"WS/MP858/2024-2025/141388-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),"Construction of CC Road from Samir Dey house to Arup Chakraborty house at Simulia II GP, Executing Agency will be EO Mongalkote Panchayat Samity.",Asit Kumar Mal,BOLPUR(SC),Images,21-May-2025,181508.79,WS/MP858/2024-2025/141388,Normal/Others,181508.79,2025-05-21,WEST BENGAL,BOLPUR(SC),ASIT KUMAR MAL,"Construction of CC Road from Samir Dey house to Arup Chakraborty house at Simulia II GP, Executing Agency will be EO Mongalkote Panchayat Samity.",True
7247,Normal/Others,WS/MP18098/2024-2025/180392-Purchase of mobile water tankers,Madhya Pradesh,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE,BHARTI PARDHI,BALAGHAT,Images,22-May-2025,97666.54,WS/MP18098/2024-2025/180392,Normal/Others,97666.54,2025-05-22,MADHYA PRADESH,BALAGHAT,BHARTI PARDHI,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE,True
7248,Normal/Others,WS/MP18098/2024-2025/180391-Purchase of mobile water tankers,Madhya Pradesh,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE,BHARTI PARDHI,BALAGHAT,Images,22-May-2025,97666.54,WS/MP18098/2024-2025/180391,Normal/Others,97666.54,2025-05-22,MADHYA PRADESH,BALAGHAT,BHARTI PARDHI,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE,True
7249,Normal/Others,WS/MP18098/2024-2025/180394-Purchase of mobile water tankers,Madhya Pradesh,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE,BHARTI PARDHI,BALAGHAT,Images,22-May-2025,97666.54,WS/MP18098/2024-2025/180394,Normal/Others,97666.54,2025-05-22,MADHYA PRADESH,BALAGHAT,BHARTI PARDHI,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE,True
7250,Normal/Others,WS/MP18098/2024-2025/180415-Purchase of mobile water tankers,Madhya Pradesh,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE BUDBUDA,BHARTI PARDHI,BALAGHAT,Images,22-May-2025,97666.54,WS/MP18098/2024-2025/180415,Normal/Others,97666.54,2025-05-22,MADHYA PRADESH,BALAGHAT,BHARTI PARDHI,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE BUDBUDA,True
7251,Normal/Others,"WS/MP423/2024-2025/138824-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Construction of CC Road  from Mithapukur Baro Masjid towards H/O Lata Mallik. (74.5 mtr),Shri Abhishek Banerjee,DIAMOND HARBOUR,,30-May-2025,154116.99,WS/MP423/2024-2025/138824,Normal/Others,154116.99,2025-05-30,WEST BENGAL,DIAMOND HARBOUR,SHRI ABHISHEK BANERJEE,Construction of CC Road  from Mithapukur Baro Masjid towards H/O Lata Mallik. (74.5 mtr),False
7252,Normal/Others,"WS/MP485/2024-2025/137229-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Construction of Concrete Road from Dhananjay Bairagi wood mil to Baneswar Mondal House Under Jyotishpur GP,Pratima Mondal,JOYNAGAR(SC),Images,21-May-2025,306716.8,WS/MP485/2024-2025/137229,Normal/Others,306716.8,2025-05-21,WEST BENGAL,JOYNAGAR(SC),PRATIMA MONDAL,Construction of Concrete Road from Dhananjay Bairagi wood mil to Baneswar Mondal House Under Jyotishpur GP,True
7253,Normal/Others,"WS/MP18222/2024-2025/165198-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Belwar marg se indradev yadav ke avas ke paas hanuman mandir ke pass khadanje par 120 mtr. tak RCC ka nirman kary.,BABU SINGH KUSHWAHA,JAUNPUR,Images,21-May-2025,354433.72,WS/MP18222/2024-2025/165198,Normal/Others,354433.72,2025-05-21,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,Belwar marg se indradev yadav ke avas ke paas hanuman mandir ke pass khadanje par 120 mtr. tak RCC ka nirman kary.,True
7254,Normal/Others,"WS/MP423/2024-2025/138277-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Construction of CC Road from H/O Sanjoy Das to Mohonpur Foot Ball Ground. (138 mtr),Shri Abhishek Banerjee,DIAMOND HARBOUR,,09-Jul-2025,209809.88,WS/MP423/2024-2025/138277,Normal/Others,209809.88,2025-07-09,WEST BENGAL,DIAMOND HARBOUR,SHRI ABHISHEK BANERJEE,Construction of CC Road from H/O Sanjoy Das to Mohonpur Foot Ball Ground. (138 mtr),False
7255,Normal/Others,WS/MP582/2024-2025/149774-Installing community drinking water plants,Gujarat,SURAT(DISTRICT COLLECTOR SURAT_IDA),"Facility work of R.O. water plant for clean drinking water at Amchak village, Taluka Mahuva  District Surat",Prabhubhai Nagarbhai Vasava,BARDOLI(ST),Images,21-May-2025,256203.87,WS/MP582/2024-2025/149774,Normal/Others,256203.87,2025-05-21,GUJARAT,BARDOLI(ST),PRABHUBHAI NAGARBHAI VASAVA,"Facility work of R.O. water plant for clean drinking water at Amchak village, Taluka Mahuva  District Surat",True
7256,Normal/Others,WS/MP18357/2025-2026/191785-Providing drains and gutters for public drainage,Madhya Pradesh,ASHOKNAGAR(DISTRICT COLLECTOR ASHOKNAGAR_IDA),,JYOTIRADITYA M. SCINDIA,GUNA,Images,08-Dec-2025,511704.5,WS/MP18357/2025-2026/191785,Normal/Others,511704.5,2025-12-08,MADHYA PRADESH,GUNA,JYOTIRADITYA M. SCINDIA,,True
7257,Normal/Others,WS/MP867/2024-2025/168974-Lighting of public spaces,West Bengal,KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA),INSTALLATION OF MINI  HIGH MAST LIGHTS AT NARKELDANGA MAIN ROAD AND OTHER PLACES IN WARD NO. 29 UNDER BR. III OF KMC,Sudip Bandyopadhyay,KOLKATA UTTAR,Images,25-Sep-2025,178891.14,WS/MP867/2024-2025/168974,Normal/Others,178891.14,2025-09-25,WEST BENGAL,KOLKATA UTTAR,SUDIP BANDYOPADHYAY,INSTALLATION OF MINI  HIGH MAST LIGHTS AT NARKELDANGA MAIN ROAD AND OTHER PLACES IN WARD NO. 29 UNDER BR. III OF KMC,True
7258,Normal/Others,WS/MP18098/2024-2025/180409-Purchase of mobile water tankers,Madhya Pradesh,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE BHRSADONGARI,BHARTI PARDHI,BALAGHAT,Images,22-May-2025,97666.54,WS/MP18098/2024-2025/180409,Normal/Others,97666.54,2025-05-22,MADHYA PRADESH,BALAGHAT,BHARTI PARDHI,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE BHRSADONGARI,True
7259,Normal/Others,"WS/MP18222/2024-2025/170968-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),block mugrabadshahpur gramsbha saraykewat me late surynaryan ke awas se ashok ke awas tak 40 meter interlocking road nirman kary,BABU SINGH KUSHWAHA,JAUNPUR,Images,21-May-2025,83009.85,WS/MP18222/2024-2025/170968,Normal/Others,83009.85,2025-05-21,UTTAR PRADESH,JAUNPUR,BABU SINGH KUSHWAHA,block mugrabadshahpur gramsbha saraykewat me late surynaryan ke awas se ashok ke awas tak 40 meter interlocking road nirman kary,True
7260,Normal/Others,WS/MP18098/2024-2025/180410-Purchase of mobile water tankers,Madhya Pradesh,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE,BHARTI PARDHI,BALAGHAT,Images,22-May-2025,97666.54,WS/MP18098/2024-2025/180410,Normal/Others,97666.54,2025-05-22,MADHYA PRADESH,BALAGHAT,BHARTI PARDHI,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE,True
7261,Normal/Others,WS/MP18098/2024-2025/180408-Purchase of mobile water tankers,Madhya Pradesh,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE BENEGAON,BHARTI PARDHI,BALAGHAT,Images,22-May-2025,97666.54,WS/MP18098/2024-2025/180408,Normal/Others,97666.54,2025-05-22,MADHYA PRADESH,BALAGHAT,BHARTI PARDHI,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE BENEGAON,True
7262,Normal/Others,WS/MP18098/2024-2025/180413-Purchase of mobile water tankers,Madhya Pradesh,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE GHOTI,BHARTI PARDHI,BALAGHAT,Images,22-May-2025,97666.54,WS/MP18098/2024-2025/180413,Normal/Others,97666.54,2025-05-22,MADHYA PRADESH,BALAGHAT,BHARTI PARDHI,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE GHOTI,True
7263,Normal/Others,WS/MP18138/2024-2025/148828-Construction of additional rooms and halls in the existing public and community building,Mizoram,AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),Renovation of Computer class romm at MZP Building,RICHARD VANLALHMANGAIHA,MIZORAM (ST),,06-Feb-2026,128140.38,WS/MP18138/2024-2025/148828,Normal/Others,128140.38,2026-02-06,MIZORAM,MIZORAM (ST),RICHARD VANLALHMANGAIHA,Renovation of Computer class romm at MZP Building,False
7264,Normal/Others,WS/MP18098/2024-2025/180412-Purchase of mobile water tankers,Madhya Pradesh,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT SINGOLA,BHARTI PARDHI,BALAGHAT,Images,22-May-2025,97666.54,WS/MP18098/2024-2025/180412,Normal/Others,97666.54,2025-05-22,MADHYA PRADESH,BALAGHAT,BHARTI PARDHI,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT SINGOLA,True
7265,Normal/Others,WS/MP18098/2024-2025/180406-Purchase of mobile water tankers,Madhya Pradesh,BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA),GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE BOMHANWADA,BHARTI PARDHI,BALAGHAT,Images,22-May-2025,97666.54,WS/MP18098/2024-2025/180406,Normal/Others,97666.54,2025-05-22,MADHYA PRADESH,BALAGHAT,BHARTI PARDHI,GI WATER TANKER MOUNTED ON TWO WHEEL TRACTOR TRAILER CAPACITY 5000 LITER WITH FIRE FIGHTING PUMP AND 900 16 NEW TYRE AT VILLAGE BOMHANWADA,True
7266,Normal/Others,"WS/MP579/2024-2025/162823-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,ANAND(District Collector ANAND_IDA),Ashipura mA Bhathijivala Faliyama C.C Rpad na Kam,Mitesh Rameshbhai Bakabhai Patel,ANAND,,09-Jul-2025,126698.03,WS/MP579/2024-2025/162823,Normal/Others,126698.03,2025-07-09,GUJARAT,ANAND,MITESH RAMESHBHAI BAKABHAI PATEL,Ashipura mA Bhathijivala Faliyama C.C Rpad na Kam,False
7267,Normal/Others,"WS/MP18138/2024-2025/148127-Purchase of ambulances (Four, three and two wheelers)",Mizoram,AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA),Purchase of Mini bus for Association for Voluntary Blood Donor,RICHARD VANLALHMANGAIHA,MIZORAM (ST),,06-Feb-2026,926257.58,WS/MP18138/2024-2025/148127,Normal/Others,926257.58,2026-02-06,MIZORAM,MIZORAM (ST),RICHARD VANLALHMANGAIHA,Purchase of Mini bus for Association for Voluntary Blood Donor,False
